proteinA	proteinB	score	score_coexp	score_exp	score_db	score_textmine
AURKA	MAPK8	0.475	0.0	0.0	0.0	0.436
AURKA	CDKN1A	0.476	0.069	0.0	0.0	0.461
AURKA	HDAC2	0.477	0.292	0.081	0.0	0.261
AURKA	CCNL2	0.479	0.0	0.0	0.0	0.479
AURKA	AR	0.482	0.0	0.057	0.0	0.474
AURKA	ABL1	0.484	0.067	0.0	0.0	0.47
AURKA	ATM	0.522	0.071	0.0	0.0	0.507
AURKA	BCL2L1	0.542	0.292	0.0	0.0	0.379
AURKA	BRD4	0.554	0.292	0.0	0.0	0.397
AURKA	HSP90AA1	0.578	0.381	0.062	0.0	0.331
AURKA	BRCA2	0.581	0.071	0.178	0.0	0.495
AURKA	PARP1	0.592	0.091	0.189	0.0	0.491
AURKA	MCL1	0.598	0.0	0.0	0.0	0.598
AURKA	E2F1	0.6	0.0	0.243	0.0	0.493
AURKA	NPM1	0.601	0.366	0.2	0.0	0.277
AURKA	H2AX	0.603	0.0	0.192	0.0	0.528
AURKA	BCL2	0.625	0.0	0.0	0.0	0.625
AURKA	CCND1	0.626	0.064	0.073	0.0	0.603
AURKA	PGR	0.628	0.0	0.057	0.0	0.622
AURKA	HSPA4	0.63	0.292	0.115	0.0	0.457
AURKA	H3-3B	0.64	0.149	0.108	0.0	0.563
AURKA	MDM2	0.643	0.292	0.055	0.0	0.51
AURKA	H3C12	0.644	0.149	0.132	0.0	0.557
AURKA	EP300	0.652	0.0	0.103	0.5	0.286
AURKA	RAD51	0.671	0.071	0.451	0.0	0.407
AURKA	CDK4	0.704	0.095	0.357	0.0	0.461
AURKA	PTEN	0.711	0.099	0.074	0.0	0.682
AURKA	UBE2I	0.712	0.3	0.093	0.4	0.333
AURKA	CDKN2A	0.723	0.126	0.07	0.0	0.686
AURKA	CDC25A	0.727	0.0	0.299	0.0	0.626
AURKA	CDKN1B	0.74	0.627	0.0	0.0	0.333
AURKA	CHEK1	0.754	0.075	0.471	0.0	0.537
AURKA	EZH2	0.761	0.102	0.291	0.0	0.655
AURKA	ESR1	0.769	0.302	0.057	0.0	0.678
AURKA	CDC25C	0.831	0.0	0.645	0.0	0.544
AURKA	H3-4	0.856	0.667	0.108	0.0	0.554
AURKA	CDK2	0.886	0.637	0.372	0.0	0.495
AURKA	MYC	0.914	0.175	0.099	0.0	0.893
AURKA	BRCA1	0.942	0.292	0.298	0.0	0.892
AURKA	CCNA2	0.949	0.0	0.853	0.0	0.669
AURKA	CDK1	0.951	0.525	0.777	0.0	0.537
AURKA	GADD45A	0.961	0.51	0.0	0.9	0.27
AURKA	CCNB1	0.979	0.094	0.863	0.0	0.845
AURKA	TP53	0.998	0.81	0.116	0.75	0.978
DDX5	HSPA4	0.431	0.091	0.07	0.0	0.381
DDX5	H3-3B	0.438	0.071	0.239	0.0	0.269
DDX5	BRD4	0.443	0.314	0.074	0.0	0.193
DDX5	CDK2	0.446	0.335	0.058	0.0	0.187
DDX5	CREBBP	0.447	0.299	0.088	0.0	0.204
DDX5	XRCC6	0.456	0.057	0.214	0.0	0.326
DDX5	E2F1	0.462	0.312	0.0	0.0	0.25
DDX5	ABL1	0.463	0.156	0.042	0.0	0.389
DDX5	MYC	0.486	0.174	0.048	0.0	0.399
DDX5	UBE2I	0.497	0.072	0.066	0.4	0.145
DDX5	BCL2	0.511	0.0	0.056	0.0	0.504
DDX5	KAT5	0.573	0.071	0.047	0.5	0.15
DDX5	KAT2B	0.582	0.067	0.049	0.5	0.169
DDX5	AR	0.63	0.0	0.0	0.0	0.63
DDX5	HSP90AA1	0.635	0.1	0.275	0.0	0.485
DDX5	SMAD4	0.676	0.095	0.074	0.0	0.645
DDX5	TBP	0.712	0.325	0.067	0.5	0.193
DDX5	HDAC2	0.763	0.554	0.075	0.0	0.472
DDX5	BRCA1	0.764	0.0	0.0	0.0	0.764
DDX5	EZH2	0.802	0.532	0.092	0.0	0.572
DDX5	EP300	0.917	0.631	0.085	0.5	0.566
DDX5	HDAC1	0.944	0.785	0.23	0.0	0.69
DDX5	ESR1	0.973	0.771	0.0	0.5	0.784
DDX5	TP53	0.997	0.78	0.0	0.0	0.987
CCND1	NBN	0.485	0.0	0.0	0.0	0.486
CCND1	GADD45A	0.521	0.0	0.044	0.0	0.52
CCND1	BRD4	0.563	0.226	0.055	0.0	0.451
CCND1	H2BC13	0.575	0.0	0.0	0.5	0.185
CCND1	H2BC3	0.581	0.0	0.0	0.5	0.198
CCND1	H2BC11	0.582	0.0	0.0	0.5	0.199
CCND1	H2BC12	0.586	0.0	0.0	0.5	0.207
CCND1	CHEK1	0.593	0.0	0.044	0.0	0.592
CCND1	CHEK2	0.601	0.0	0.1	0.0	0.575
CCND1	SP1	0.611	0.292	0.0	0.0	0.474
CCND1	SMAD4	0.613	0.0	0.06	0.0	0.605
CCND1	EZH2	0.623	0.0	0.067	0.0	0.613
CCND1	NPM1	0.625	0.0	0.104	0.0	0.599
CCND1	DNMT1	0.625	0.166	0.098	0.0	0.541
CCND1	CDC25C	0.638	0.0	0.075	0.0	0.624
CCND1	TCHP	0.641	0.0	0.0	0.0	0.641
CCND1	CCNA2	0.65	0.051	0.126	0.0	0.612
CCND1	MDM4	0.651	0.0	0.0	0.0	0.651
CCND1	H3-4	0.654	0.0	0.062	0.0	0.646
CCND1	HSPA4	0.658	0.0	0.08	0.0	0.644
CCND1	TP73	0.658	0.292	0.0	0.0	0.537
CCND1	TBP	0.659	0.0	0.0	0.0	0.659
CCND1	H2BC21	0.66	0.0	0.0	0.5	0.348
CCND1	HDAC2	0.661	0.386	0.06	0.0	0.46
CCND1	PMAIP1	0.667	0.0	0.0	0.0	0.667
CCND1	CASP8	0.687	0.0	0.067	0.0	0.679
CCND1	ATM	0.692	0.0	0.0	0.0	0.692
CCND1	RAD51	0.721	0.292	0.049	0.0	0.619
CCND1	MAPK8	0.724	0.0	0.078	0.0	0.713
CCND1	PARP1	0.724	0.0	0.045	0.0	0.722
CCND1	H2AX	0.735	0.0	0.066	0.5	0.479
CCND1	ABL1	0.742	0.0	0.067	0.4	0.577
CCND1	BCL2L11	0.752	0.0	0.0	0.0	0.752
CCND1	FOXO3	0.756	0.0	0.0	0.4	0.61
CCND1	H4C6	0.758	0.292	0.0	0.5	0.371
CCND1	RELA	0.791	0.51	0.066	0.0	0.579
CCND1	CCNB1	0.797	0.048	0.143	0.0	0.771
CCND1	BCL2L1	0.808	0.0	0.052	0.0	0.806
CCND1	HSP90AA1	0.819	0.185	0.048	0.0	0.786
CCND1	H3C12	0.826	0.0	0.062	0.5	0.658
CCND1	H3-3B	0.827	0.0	0.062	0.5	0.66
CCND1	HDAC1	0.833	0.601	0.06	0.0	0.59
CCND1	PGR	0.834	0.516	0.055	0.0	0.666
CCND1	MCL1	0.837	0.0	0.087	0.0	0.829
CCND1	CASP9	0.844	0.0	0.055	0.0	0.841
CCND1	CASP3	0.847	0.0	0.055	0.0	0.845
CCND1	PTEN	0.855	0.0	0.07	0.0	0.85
CCND1	BRCA2	0.861	0.51	0.0	0.0	0.727
CCND1	HIF1A	0.876	0.0	0.042	0.4	0.802
CCND1	JUN	0.919	0.292	0.042	0.5	0.79
CCND1	BRCA1	0.922	0.51	0.0	0.0	0.848
CCND1	MDM2	0.926	0.292	0.055	0.0	0.898
CCND1	E2F1	0.938	0.068	0.062	0.5	0.876
CCND1	TP53	0.946	0.292	0.0	0.0	0.928
CCND1	CCNL2	0.949	0.0	0.0	0.0	0.949
CCND1	CREB1	0.949	0.0	0.0	0.75	0.805
CCND1	AR	0.955	0.738	0.072	0.0	0.831
CCND1	BCL2	0.958	0.0	0.052	0.0	0.957
CCND1	KAT2B	0.959	0.51	0.0	0.5	0.847
CCND1	MYC	0.969	0.0	0.067	0.4	0.95
CCND1	CDC25A	0.97	0.0	0.075	0.9	0.704
CCND1	EP300	0.974	0.735	0.0	0.5	0.822
CCND1	CREBBP	0.986	0.292	0.0	0.9	0.828
CCND1	ESR1	0.997	0.625	0.069	0.75	0.971
CCND1	RB1	0.998	0.932	0.0	0.9	0.831
CCND1	CDK1	0.998	0.866	0.137	0.0	0.984
CCND1	CDKN2A	0.998	0.726	0.0	0.9	0.946
CCND1	CDK2	0.999	0.901	0.135	0.8	0.998
CCND1	CDKN1B	0.999	0.991	0.098	0.9	0.992
CCND1	CDK4	0.999	0.999	0.131	0.9	0.999
CCND1	CDKN1A	0.999	0.996	0.118	0.9	0.995
CDKN1B	HDAC1	0.408	0.0	0.049	0.0	0.403
CDKN1B	UBE2I	0.411	0.292	0.074	0.0	0.173
CDKN1B	CREB1	0.415	0.0	0.108	0.0	0.371
CDKN1B	BRCA2	0.422	0.0	0.0	0.0	0.422
CDKN1B	CCNG1	0.424	0.045	0.11	0.0	0.377
CDKN1B	AR	0.448	0.0	0.0	0.0	0.448
CDKN1B	UBE3A	0.451	0.292	0.049	0.0	0.251
CDKN1B	CHEK1	0.453	0.0	0.0	0.0	0.453
CDKN1B	HSP90AA1	0.466	0.162	0.07	0.0	0.37
CDKN1B	H3C12	0.474	0.0	0.077	0.0	0.453
CDKN1B	H3-4	0.474	0.0	0.077	0.0	0.453
CDKN1B	GADD45A	0.478	0.0	0.042	0.0	0.478
CDKN1B	KAT2B	0.489	0.292	0.147	0.0	0.223
CDKN1B	H3-3B	0.497	0.0	0.118	0.0	0.453
CDKN1B	BRCA1	0.506	0.0	0.0	0.0	0.506
CDKN1B	HIF1A	0.511	0.0	0.108	0.0	0.474
CDKN1B	CASP9	0.513	0.0	0.101	0.0	0.48
CDKN1B	PARP1	0.518	0.0	0.042	0.0	0.518
CDKN1B	MCL1	0.536	0.0	0.124	0.0	0.492
CDKN1B	CDC25C	0.549	0.0	0.11	0.0	0.515
CDKN1B	CHEK2	0.552	0.0	0.105	0.0	0.52
CDKN1B	JUN	0.554	0.0	0.054	0.0	0.548
CDKN1B	MAPK8	0.559	0.292	0.095	0.0	0.368
CDKN1B	ESR1	0.571	0.0	0.0	0.0	0.571
CDKN1B	SMAD4	0.572	0.0	0.197	0.0	0.489
CDKN1B	MDM2	0.587	0.045	0.042	0.0	0.584
CDKN1B	EZH2	0.609	0.292	0.042	0.0	0.47
CDKN1B	CASP8	0.621	0.225	0.074	0.0	0.514
CDKN1B	EP300	0.642	0.0	0.074	0.0	0.629
CDKN1B	TCHP	0.676	0.0	0.049	0.0	0.674
CDKN1B	RCHY1	0.679	0.531	0.096	0.0	0.303
CDKN1B	BCL2	0.702	0.0	0.126	0.0	0.673
CDKN1B	ATM	0.713	0.0	0.07	0.0	0.704
CDKN1B	CASP3	0.721	0.0	0.051	0.0	0.717
CDKN1B	ABL1	0.746	0.296	0.086	0.4	0.42
CDKN1B	BCL2L11	0.748	0.0	0.14	0.0	0.719
CDKN1B	FOXO4	0.792	0.045	0.1	0.4	0.645
CDKN1B	E2F1	0.812	0.0	0.0	0.5	0.64
CDKN1B	CDC25A	0.817	0.0	0.11	0.5	0.622
CDKN1B	RB1	0.818	0.096	0.049	0.5	0.626
CDKN1B	PTEN	0.834	0.0	0.06	0.0	0.831
CDKN1B	BCL2L1	0.836	0.0	0.127	0.0	0.82
CDKN1B	MYC	0.855	0.328	0.101	0.0	0.78
CDKN1B	SFN	0.923	0.9	0.067	0.0	0.246
CDKN1B	CDKN2A	0.93	0.049	0.0	0.5	0.865
CDKN1B	CCNB1	0.972	0.826	0.0	0.0	0.849
CDKN1B	CDK1	0.978	0.903	0.09	0.0	0.776
CDKN1B	FOXO3	0.98	0.429	0.092	0.75	0.869
CDKN1B	CDKN1A	0.982	0.642	0.0	0.9	0.555
CDKN1B	TP53	0.991	0.076	0.0	0.9	0.911
CDKN1B	CCNL2	0.995	0.0	0.0	0.0	0.995
CDKN1B	CDK4	0.999	0.999	0.087	0.9	0.996
CDKN1B	CDK2	0.999	0.999	0.085	0.9	0.999
CDKN1B	CCNA2	0.999	0.999	0.0	0.9	0.997
TBP	EZH2	0.401	0.0	0.074	0.0	0.379
TBP	BCL2	0.401	0.0	0.0	0.0	0.401
TBP	CDKN1A	0.407	0.0	0.059	0.0	0.396
TBP	HSP90AA1	0.43	0.098	0.062	0.0	0.381
TBP	RB1	0.431	0.292	0.049	0.0	0.223
TBP	MDM4	0.432	0.046	0.044	0.0	0.427
TBP	CASP3	0.438	0.0	0.101	0.0	0.4
TBP	HSPA4	0.445	0.0	0.059	0.0	0.434
TBP	UBE2I	0.446	0.292	0.085	0.0	0.213
TBP	CCNB1	0.477	0.0	0.327	0.0	0.255
TBP	BRCA1	0.5	0.0	0.049	0.0	0.496
TBP	AR	0.571	0.292	0.051	0.0	0.413
TBP	H2BC13	0.576	0.094	0.053	0.4	0.274
TBP	H2BC3	0.581	0.094	0.053	0.4	0.283
TBP	H2BC12	0.583	0.094	0.053	0.4	0.285
TBP	H2AX	0.593	0.185	0.052	0.4	0.225
TBP	CREBBP	0.616	0.292	0.07	0.0	0.464
TBP	HMGB1	0.625	0.543	0.086	0.0	0.174
TBP	HDAC2	0.679	0.0	0.106	0.4	0.439
TBP	BRD4	0.685	0.126	0.05	0.0	0.651
TBP	PGR	0.715	0.287	0.051	0.0	0.613
TBP	CREB1	0.735	0.0	0.164	0.0	0.697
TBP	JUN	0.777	0.547	0.0	0.0	0.527
TBP	MDM2	0.781	0.515	0.049	0.0	0.564
TBP	E2F1	0.786	0.631	0.054	0.0	0.437
TBP	KAT5	0.787	0.0	0.089	0.5	0.57
TBP	HTT	0.798	0.046	0.049	0.0	0.795
TBP	H2BC21	0.815	0.094	0.053	0.4	0.683
TBP	H3-4	0.858	0.233	0.055	0.0	0.821
TBP	RELA	0.858	0.635	0.06	0.0	0.619
TBP	HDAC1	0.865	0.292	0.105	0.4	0.682
TBP	H2BC11	0.911	0.811	0.053	0.4	0.273
TBP	H3-3B	0.917	0.233	0.055	0.4	0.832
TBP	H3C12	0.919	0.302	0.055	0.4	0.821
TBP	EP300	0.946	0.292	0.077	0.5	0.855
TBP	ESR1	0.949	0.516	0.051	0.72	0.652
TBP	MYC	0.953	0.51	0.055	0.0	0.907
TBP	KAT2B	0.96	0.417	0.049	0.5	0.873
TBP	H4C6	0.963	0.83	0.0	0.4	0.674
TBP	SP1	0.994	0.501	0.049	0.9	0.9
TBP	TP53	0.997	0.867	0.095	0.4	0.972
H4C6	HSPA9	0.408	0.306	0.083	0.0	0.144
H4C6	CHEK1	0.424	0.07	0.058	0.0	0.396
H4C6	SP1	0.462	0.328	0.044	0.0	0.23
H4C6	HMGB1	0.482	0.331	0.114	0.0	0.196
H4C6	HIF1A	0.484	0.292	0.0	0.0	0.302
H4C6	RELA	0.525	0.329	0.056	0.0	0.31
H4C6	CREB1	0.543	0.292	0.055	0.0	0.372
H4C6	MAPK8	0.56	0.0	0.044	0.5	0.155
H4C6	CCNB1	0.568	0.069	0.056	0.4	0.278
H4C6	USP7	0.576	0.51	0.053	0.0	0.159
H4C6	CDKN1A	0.58	0.0	0.0	0.0	0.58
H4C6	E2F1	0.602	0.0	0.049	0.0	0.599
H4C6	BRCA2	0.611	0.0	0.048	0.5	0.25
H4C6	BCL2	0.646	0.0	0.0	0.5	0.322
H4C6	PML	0.65	0.273	0.049	0.5	0.107
H4C6	AR	0.66	0.0	0.0	0.5	0.348
H4C6	CDK4	0.66	0.097	0.042	0.5	0.308
H4C6	NBN	0.664	0.292	0.054	0.5	0.117
H4C6	ESR1	0.686	0.0	0.0	0.5	0.398
H4C6	CDKN2A	0.687	0.071	0.044	0.5	0.38
H4C6	HSPA4	0.697	0.06	0.072	0.0	0.68
H4C6	RAD51	0.716	0.0	0.059	0.5	0.446
H4C6	RB1	0.727	0.292	0.0	0.5	0.291
H4C6	HSP90AA1	0.731	0.0	0.069	0.0	0.723
H4C6	ATM	0.772	0.129	0.042	0.5	0.518
H4C6	ATR	0.774	0.354	0.044	0.5	0.355
H4C6	JUN	0.775	0.359	0.047	0.5	0.352
H4C6	CCNA2	0.775	0.294	0.053	0.5	0.406
H4C6	CDK2	0.779	0.333	0.054	0.5	0.382
H4C6	CHEK2	0.81	0.182	0.063	0.5	0.563
H4C6	RPA1	0.812	0.562	0.056	0.5	0.198
H4C6	UBE2I	0.817	0.536	0.054	0.5	0.267
H4C6	CDK1	0.82	0.333	0.056	0.4	0.581
H4C6	PRKDC	0.832	0.537	0.056	0.5	0.324
H4C6	BRCA1	0.867	0.547	0.05	0.5	0.457
H4C6	DNMT1	0.873	0.449	0.054	0.5	0.573
H4C6	XRCC6	0.884	0.555	0.075	0.5	0.505
H4C6	PARP1	0.919	0.772	0.076	0.0	0.649
H4C6	H2BC13	0.936	0.294	0.408	0.4	0.748
H4C6	TP53	0.947	0.821	0.0	0.0	0.719
H4C6	MYC	0.95	0.566	0.0	0.5	0.79
H4C6	HDAC2	0.976	0.722	0.056	0.5	0.838
H4C6	EZH2	0.977	0.908	0.062	0.5	0.531
H4C6	NPM1	0.98	0.796	0.075	0.5	0.813
H4C6	HDAC1	0.984	0.844	0.097	0.5	0.81
H4C6	KAT5	0.993	0.9	0.0	0.5	0.885
H4C6	DAXX	0.994	0.984	0.05	0.5	0.321
H4C6	H2BC11	0.994	0.937	0.3	0.54	0.747
H4C6	CREBBP	0.995	0.986	0.049	0.5	0.436
H4C6	KAT2B	0.996	0.929	0.0	0.5	0.903
H4C6	H2BC3	0.996	0.956	0.585	0.4	0.747
H4C6	H2BC12	0.997	0.956	0.265	0.4	0.887
H4C6	H2AX	0.998	0.984	0.204	0.8	0.596
H4C6	H3-4	0.999	0.975	0.174	0.8	0.998
H4C6	H3-3B	0.999	0.988	0.232	0.8	0.998
H4C6	BRD4	0.999	0.875	0.054	0.0	0.992
H4C6	H3C12	0.999	0.989	0.788	0.8	0.998
H4C6	EP300	0.999	0.999	0.042	0.5	0.749
H4C6	TP53BP1	0.999	0.987	0.049	0.5	0.978
H4C6	H2BC21	0.999	0.956	0.259	0.4	0.997
RPA1	BRD4	0.438	0.328	0.097	0.0	0.147
RPA1	H3C12	0.465	0.163	0.082	0.0	0.36
RPA1	EP300	0.466	0.133	0.047	0.0	0.406
RPA1	CCNB1	0.471	0.292	0.166	0.0	0.176
RPA1	NPM1	0.484	0.076	0.21	0.0	0.35
RPA1	RCHY1	0.504	0.0	0.049	0.5	0.0
RPA1	H2BC12	0.574	0.128	0.043	0.5	0.1
RPA1	H2BC11	0.574	0.128	0.042	0.5	0.102
RPA1	KAT5	0.575	0.0	0.049	0.5	0.179
RPA1	H2BC13	0.575	0.128	0.0	0.5	0.104
RPA1	UBE2I	0.579	0.0	0.127	0.4	0.26
RPA1	H3-3B	0.612	0.382	0.1	0.0	0.359
RPA1	CHEK2	0.612	0.1	0.089	0.0	0.565
RPA1	H2BC21	0.652	0.128	0.0	0.5	0.266
RPA1	H2BC3	0.685	0.356	0.0	0.5	0.102
RPA1	H2AX	0.714	0.114	0.08	0.5	0.381
RPA1	H3-4	0.717	0.163	0.07	0.5	0.359
RPA1	CCNA2	0.717	0.292	0.166	0.0	0.559
